arabes
baisable
biatch
bifle
bite
boob
boules
braguette
branlette
burne
caca
chatte
chaudasse
chienne
cocaïne
coke
conard
conasse
connard
connasse
conne
cougar
couille
cul
faciale
fdp
fesse
fion
fiotte
foufoune
foutre
gouine
homo
homosexuel
juifs
lesbienne
md
mdma
merde
milf
morue
nichon
ntm
pd
pedale
pédé
pipe
pute
queue
salaud
salopard
salope
sein
sexe
shit
sodomie
suceur
suceuse
tafiole
tapette
tarlouze
taspé
techa
teub
teuch
teucha
touffe
trouduc
truie
weed
baise
baize
bande
branle
chier
culbute
deglingue
encule
nike
nique
pisse
sodomise
suce
tronche
chagasse
ta gueule
ta mère
va te faire
snap
snapchat
messenger
facebook
instagram
cochonne
bombe
terroriste
pétasse
